timestamp,home_team,away_team,season,week,fpga_win_prob,fpga_spread,status,latency_ms,actual_winner,actual_spread
2026-05-29T11:44:13.694616,KC,BAL,2024,1,0.6100,-3,OK,2.1,KC,7
2026-05-29T11:44:28.221506,KC,BAL,2024,1,0.6100,-3,OK,2.1,KC,7
